,Model,Scenario,Region,Year,CAPCOST,OMCOST,FUELCOST,CAPCOST_MWh,OMCOST_MWh,FUELCOST_MWh,CAPCOST_p,OMCOST_p,FUELCOST_p,Variable
0,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2020,394799.920635731,32659.403985424102,529919.607625208,394799.920635731,32659.403985424102,529919.607625208,41.2375818329,3.4113351449000002,55.3510830222,Fossils
1,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2030,232973.92944006,16662.5720546933,544309.530246172,232973.92944006,16662.5720546933,544309.530246172,29.343799216300003,2.0987033613,68.5574974224,Fossils
2,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2040,261093.68322662398,20089.1358440133,732071.709921447,261093.68322662398,20089.1358440133,732071.709921447,25.767827900700002,1.9826346953999998,72.249537404,Fossils
3,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2050,487864.924112828,36578.262026425095,1189496.22710254,487864.924112828,36578.262026425095,1189496.22710254,28.464537331,2.1341630716,69.4012995974,Fossils
4,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2060,590674.877551559,42931.4958763341,1287285.29687438,590674.877551559,42931.4958763341,1287285.29687438,30.750035865300003,2.2349774607,67.014986674,Fossils
5,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2070,459458.164392319,33822.2723820697,807510.890053186,459458.164392319,33822.2723820697,807510.890053186,35.3214351077,2.6001305271,62.0784343652,Fossils
6,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2080,622178.730344653,45559.85732737809,1741036.5641694001,622178.730344653,45559.85732737809,1741036.5641694001,25.8296723905,1.8914117946,72.2789158149,Fossils
7,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2090,712638.777348978,50941.562392894004,2024488.08931659,712638.777348978,50941.562392894004,2024488.08931659,25.5603044,1.8271274069999999,72.612568193,Fossils
8,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2100,478391.23346723703,34768.2350133489,1587290.44981894,478391.23346723703,34768.2350133489,1587290.44981894,22.775655315500003,1.6552756012,75.5690690833,Fossils
9,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2110,402976.45188872796,31625.889353935498,1123381.7450806003,402976.45188872796,31625.889353935498,1123381.7450806003,25.8652482671,2.0299237734,72.1048279596,Fossils
10,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2020,557087.431995715,25637.9650261982,166858.529567146,557087.431995715,25637.9650261982,166858.529567146,74.3195541199,3.420292794,22.260153086,Renewables
11,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2030,339240.150739211,17415.6294494479,0.0,339240.150739211,17415.6294494479,0.0,95.11696419440001,4.8830358056,0.0,Renewables
