,Model,Scenario,Region,Year,CAPCOST,OMCOST,FUELCOST,CAPCOST_MWh,OMCOST_MWh,FUELCOST_MWh,CAPCOST_p,OMCOST_p,FUELCOST_p,Variable
100,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2020,951887.352631445,58297.36901162231,696778.137192355,951887.352631445,58297.36901162231,696778.137192355,55.7649715519,3.4152687452999997,40.8197597028,Aggregate
101,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2030,572214.080179271,34078.2015041412,544309.530246172,572214.080179271,34078.2015041412,544309.530246172,49.731720761000005,2.9617719311,47.306507308,Aggregate
102,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2040,651157.960786446,36006.277976506804,741673.827322243,651157.960786446,36006.277976506804,741673.827322243,45.5725513088,2.5199691155,51.90747957560001,Aggregate
103,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2050,1159824.64208457,63244.42320457519,1203813.52901868,1159824.64208457,63244.42320457519,1203813.52901868,47.7907190403,2.6059943465,49.6032866131,Aggregate
104,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2060,1492755.96176164,73608.22938316519,1299624.21539778,1492755.96176164,73608.22938316519,1299624.21539778,52.085205870100005,2.5683366065,45.3464575234,Aggregate
105,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2070,1575170.39558556,74236.34664222361,831752.363833995,1575170.39558556,74236.34664222361,831752.363833995,63.4852634697,2.9920026677,33.5227338627,Aggregate
106,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2080,2311854.7092982004,113496.70562339,1758815.58234954,2311854.7092982004,113496.70562339,1758815.58234954,55.2524483561,2.7125281017000002,42.0350235422,Aggregate
107,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2090,2070606.18603808,93695.6916205742,2041931.98923573,2070606.18603808,93695.6916205742,2041931.98923573,49.2270817925,2.22754356,48.5453746475,Aggregate
108,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2100,1723066.89933802,66879.90917028059,1606663.20889247,1723066.89933802,66879.90917028059,1606663.20889247,50.729017771,1.9690193700999998,47.301962858900005,Aggregate
109,CD_Links_SSP2_v2,NPi_v3,Asia (No Japan),2110,1096884.4982411999,53755.08456935151,1140964.57972186,1096884.4982411999,53755.08456935151,1140964.57972186,47.8653563375,2.3457403965,49.788903266000005,Aggregate
110,CD_Links_SSP2_v2,NPi_v3,Latin America,2020,57469.5211209922,3630.1378403627,56969.2342318601,57469.5211209922,3630.1378403627,56969.2342318601,48.6745658121,3.0745929281,48.2508412598,Aggregate
111,CD_Links_SSP2_v2,NPi_v3,Latin America,2030,99087.61320884801,6184.3199313846,86240.8805140288,99087.61320884801,6184.3199313846,86240.8805140288,51.7394169707,3.2291938139,45.0313892154,Aggregate
112,CD_Links_SSP2_v2,NPi_v3,Latin America,2040,112562.100106001,6632.687419379301,74805.7175729688,112562.100106001,6632.687419379301,74805.7175729688,58.0215500207,3.4189021394999997,38.5595478399,Aggregate
113,CD_Links_SSP2_v2,NPi_v3,Latin America,2050,194002.163600688,10411.3757956411,169108.28138953,194002.163600688,10411.3757956411,169108.28138953,51.9386426187,2.7873541025999997,45.2740032788,Aggregate
114,CD_Links_SSP2_v2,NPi_v3,Latin America,2060,359420.492390533,17222.696879780102,394192.844816597,359420.492390533,17222.696879780102,394192.844816597,46.6273599698,2.2342879831999998,51.138352047,Aggregate
115,CD_Links_SSP2_v2,NPi_v3,Latin America,2070,473644.582327895,15918.350821966298,133383.587783436,473644.582327895,15918.350821966298,133383.587783436,76.0329444682,2.5553318442,21.4117236875,Aggregate
116,CD_Links_SSP2_v2,NPi_v3,Latin America,2080,404191.00936433795,15364.0322690175,429838.362668215,404191.00936433795,15364.0322690175,429838.362668215,47.5858427105,1.8088240609000001,50.605333228599996,Aggregate
117,CD_Links_SSP2_v2,NPi_v3,Latin America,2090,544862.133264603,21826.2105324273,711318.5515255671,544862.133264603,21826.2105324273,711318.5515255671,42.6337397129,1.7078319853,55.6584283018,Aggregate
118,CD_Links_SSP2_v2,NPi_v3,Latin America,2100,470403.922158458,16154.9732065354,275524.217485558,470403.922158458,16154.9732065354,275524.217485558,61.7260655992,2.1198440084,36.1540903924,Aggregate
119,CD_Links_SSP2_v2,NPi_v3,Latin America,2110,456288.10975550103,22295.5552450769,186490.149283602,456288.10975550103,22295.5552450769,186490.149283602,68.6071380282,3.3523429680000003,28.0405190038,Aggregate
120,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2020,104649.645135951,6474.339007503,132964.594898736,104649.645135951,6474.339007503,132964.594898736,42.873634459499996,2.6524547084,54.4739108321,Aggregate
121,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2030,123191.895609261,7731.415425894201,194589.24729916398,123191.895609261,7731.415425894201,194589.24729916398,37.8455123943,2.3751511971,59.7793364087,Aggregate
122,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2040,168580.855812041,9338.2948610813,231364.147522095,168580.855812041,9338.2948610813,231364.147522095,41.1892829625,2.2816212883,56.5290957492,Aggregate
123,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2050,388162.240950074,21317.863877770502,440184.03002060397,388162.240950074,21317.863877770502,440184.03002060397,45.6841974411,2.5089753708,51.8068271881,Aggregate
124,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2060,609490.435713135,32489.0268785047,891621.562868106,609490.435713135,32489.0268785047,891621.562868106,39.742437935,2.118479731,58.139082334099996,Aggregate
125,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2070,871858.073738526,40073.3146024757,900589.8065929441,871858.073738526,40073.3146024757,900589.8065929441,48.1019519206,2.2109156413999997,49.687132438,Aggregate
126,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2080,1294335.15816626,61192.33902145139,1293266.86144834,1294335.15816626,61192.33902145139,1293266.86144834,48.8650677598,2.3101959132,48.824736327,Aggregate
127,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2090,1981287.33234998,95759.5959572249,1772647.44503796,1981287.33234998,95759.5959572249,1772647.44503796,51.4660941936,2.4874596959999997,46.0464461104,Aggregate
128,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2100,2096985.71358548,90351.0097520977,1352042.48211714,2096985.71358548,90351.0097520977,1352042.48211714,59.2472745038,2.5527360734,38.1999894228,Aggregate
129,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2110,1754398.58298226,80196.1714546423,1421543.83887969,1754398.58298226,80196.1714546423,1421543.83887969,53.8797269435,2.4629225433,43.657350513199994,Aggregate
130,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2020,776739.030411895,35518.926097587406,500541.93216144,776739.030411895,35518.926097587406,500541.93216144,59.1665978277,2.7055857031,38.1278164693,Aggregate
131,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2030,303595.20166972803,17912.398198206898,382224.116254926,303595.20166972803,17912.398198206898,382224.116254926,43.140758717299995,2.5453447369,54.3138965458,Aggregate
132,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2040,465021.53819977,24857.664794599103,529713.831699353,465021.53819977,24857.664794599103,529713.831699353,45.6085440344,2.4379986866,51.953457279,Aggregate
133,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2050,745662.765586994,42275.110480091,1149003.81795533,745662.765586994,42275.110480091,1149003.81795533,38.49691335,2.1825701109,59.3205165391,Aggregate
134,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2060,884128.083389303,42617.7978320989,802167.3738369441,884128.083389303,42617.7978320989,802167.3738369441,51.137793108000004,2.4650049797,46.3972019122,Aggregate
135,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2070,1085670.73344202,47059.2953405733,1076774.36249444,1085670.73344202,47059.2953405733,1076774.36249444,49.1363917505,2.1298575158,48.7337507337,Aggregate
136,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2080,1020277.03257964,44497.241634537306,1059430.92586626,1020277.03257964,44497.241634537306,1059430.92586626,48.0310015502,2.0947713353,49.874227114499995,Aggregate
137,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2090,1243657.29525193,44066.667796303,873637.835167088,1243657.29525193,44066.667796303,873637.835167088,57.54044955729999,2.0388380989,40.4207123439,Aggregate
138,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2100,968144.073638281,40870.803863617795,1304555.93981332,968144.073638281,40870.803863617795,1304555.93981332,41.8463124791,1.7665680928,56.38711942810001,Aggregate
139,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2110,664566.6903493761,28101.105430739102,762070.562033277,664566.6903493761,28101.105430739102,762070.562033277,45.6829014496,1.9316948151,52.385403735299995,Aggregate
140,CD_Links_SSP2_v2,NPi_v3,Central Asia,2020,102497.801594655,4981.2158514517,88921.79378118279,102497.801594655,4981.2158514517,88921.79378118279,52.1880744556,2.5362501409,45.2756754035,Aggregate
141,CD_Links_SSP2_v2,NPi_v3,Central Asia,2030,58301.3371816089,3730.4063070428997,61641.4721100233,58301.3371816089,3730.4063070428997,61641.4721100233,47.1414419843,3.0163413225999998,49.842216693100006,Aggregate
142,CD_Links_SSP2_v2,NPi_v3,Central Asia,2040,84870.4189794613,5151.1027127338,116272.490591955,84870.4189794613,5151.1027127338,116272.490591955,41.1405149571,2.4969715096000002,56.362513533299996,Aggregate
143,CD_Links_SSP2_v2,NPi_v3,Central Asia,2050,109579.451462305,6562.7899165625,118995.90922044401,109579.451462305,6562.7899165625,118995.90922044401,46.6021575755,2.7910357804,50.6068066442,Aggregate
