Model,Scenario,Region,Unit,Year,Value,Enduse,EnergySource
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,27.3012,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,32.4348,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,6.2783,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,0.3936,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,40.3962,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,34.5371,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,34.6223,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,27.1562,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,6.5086,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,0.0005,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,13.3544,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,34.6228,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,0.8814,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,0.0,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,0.0,Transportation,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2010,97.8818,Transportation,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,11.9939,Industry,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,7.4677,Industry,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,2.1688,Industry,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,0.1297,Industry,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,13.0096,Industry,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,21.9569,Industry,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,6.8206,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,2.8728,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,1.1326,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,0.0001,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,3.8198,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,18.9156,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,0.1737,Transportation,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,0.0,Transportation,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,R5ASIA,EJ/yr,2010,0.0,Transportation,Hydrogen
